op_id,h1,h2,h3,op_type,input_shape,weight_shape,weight_pos,output_shape,depends_on,layer_idx,block,sub_block,depth,module_path,raw_op,params,phase,unmapped
20,model,,,expand,"[[B, 1, 1, T+1]]",,,"[[B, 1, 1, T+1]]",[19],,other,,1,model,aten.expand.default,[],decode,True
21,model,,,scalar_tensor,[],,,[[]],[],,other,,1,model,aten.scalar_tensor.default,[],decode,True
22,model,,,where,"[[B, 1, 1, T+1], [], []]",,,"[[B, 1, 1, T+1]]","[20, 21]",,other,,1,model,aten.where.self,[],decode,True
23,model,,,zeros,[],,,[[B]],[],,other,,1,model,aten.zeros.default,[],decode,True
24,model,,,arange,[],,,[[B]],[],,other,,1,model,aten.arange.default,[],decode,True
25,model,,,arange,[],,,[[B]],[],,other,,1,model,aten.arange.default,[],decode,True
26,model,,,arange,[],,,[[B]],[],,other,,1,model,aten.arange.default,[],decode,True
27,model,,,elementwise_add,[[B]],,,[[B]],[26],,other,,1,model,aten.add.Tensor,[],decode,False
28,model,,,arange,[],,,[[T+1]],[],,other,,1,model,aten.arange.default,[],decode,True
29,model,,,elementwise_add,[[T+1]],,,[[T+1]],[28],,other,,1,model,aten.add.Tensor,[],decode,False
30,model,,,unsqueeze,[[B]],,,"[[B, 1]]",[24],,other,,1,model,aten.unsqueeze.default,[],decode,True
31,model,,,unsqueeze,"[[B, 1]]",,,"[[B, 1, 1]]",[30],,other,,1,model,aten.unsqueeze.default,[],decode,True
32,model,,,unsqueeze,"[[B, 1, 1]]",,,"[[B, 1, 1, 1]]",[31],,other,,1,model,aten.unsqueeze.default,[],decode,True
33,model,,,unsqueeze,[[B]],,,"[[B, 1]]",[25],,other,,1,model,aten.unsqueeze.default,[],decode,True
34,model,,,unsqueeze,"[[B, 1]]",,,"[[B, 1, 1]]",[33],,other,,1,model,aten.unsqueeze.default,[],decode,True
35,model,,,unsqueeze,"[[B, 1, 1]]",,,"[[B, 1, 1, 1]]",[34],,other,,1,model,aten.unsqueeze.default,[],decode,True
36,model,,,unsqueeze,[[B]],,,"[[B, 1]]",[27],,other,,1,model,aten.unsqueeze.default,[],decode,True
37,model,,,unsqueeze,"[[B, 1]]",,,"[[B, 1, 1]]",[36],,other,,1,model,aten.unsqueeze.default,[],decode,True
38,model,,,unsqueeze,"[[B, 1, 1]]",,,"[[B, 1, 1, 1]]",[37],,other,,1,model,aten.unsqueeze.default,[],decode,True
39,model,,,unsqueeze,[[T+1]],,,"[[B, T+1]]",[29],,other,,1,model,aten.unsqueeze.default,[],decode,True
40,model,,,unsqueeze,"[[B, T+1]]",,,"[[B, 1, T+1]]",[39],,other,,1,model,aten.unsqueeze.default,[],decode,True
41,model,,,unsqueeze,"[[B, 1, T+1]]",,,"[[B, 1, 1, T+1]]",[40],,other,,1,model,aten.unsqueeze.default,[],decode,True
42,model,,,new_ones,"[[B, 1, 1, 1]]",,,[[]],[38],,other,,1,model,aten.new_ones.default,[],decode,True
43,model,,,index,"[[B], [B, 1, 1, 1]]",,,"[[B, 1, 1, 1]]","[23, 32]",,other,,1,model,aten.index.Tensor,[],decode,True
44,model,,,sub,"[[B, 1, 1, T+1], [B, 1, 1, 1]]",,,"[[B, 1, 1, T+1]]","[41, 43]",,other,,1,model,aten.sub.Tensor,[],decode,True
45,model,,,floor_divide,"[[B, 1, 1, T+1]]",,,"[[B, 1, 1, T+1]]",[44],,other,,1,model,aten.floor_divide.default,[],decode,True
46,model,,,index,"[[B], [B, 1, 1, 1]]",,,"[[B, 1, 1, 1]]","[23, 32]",,other,,1,model,aten.index.Tensor,[],decode,True
47,model,,,sub,"[[B, 1, 1, 1], [B, 1, 1, 1]]",,,"[[B, 1, 1, 1]]","[38, 46]",,other,,1,model,aten.sub.Tensor,[],decode,True
48,model,,,floor_divide,"[[B, 1, 1, 1]]",,,"[[B, 1, 1, 1]]",[47],,other,,1,model,aten.floor_divide.default,[],decode,True
49,model,,,eq,"[[B, 1, 1, T+1], [B, 1, 1, 1]]",,,"[[B, 1, 1, T+1]]","[45, 48]",,other,,1,model,aten.eq.Tensor,[],decode,True
50,model,,,bitwise_and,"[[], [B, 1, 1, T+1]]",,,"[[B, 1, 1, T+1]]","[42, 49]",,other,,1,model,aten.bitwise_and.Tensor,[],decode,True
51,model,,,le,"[[B, 1, 1, T+1], [B, 1, 1, 1]]",,,"[[B, 1, 1, T+1]]","[38, 41]",,other,,1,model,aten.le.Tensor,[],decode,True
52,model,,,bitwise_and,"[[B, 1, 1, T+1], [B, 1, 1, T+1]]",,,"[[B, 1, 1, T+1]]","[50, 51]",,other,,1,model,aten.bitwise_and.Tensor,[],decode,True
53,model,,,expand,"[[B, 1, 1, T+1]]",,,"[[B, 1, 1, T+1]]",[52],,other,,1,model,aten.expand.default,[],decode,True
54,model,,,scalar_tensor,[],,,[[]],[],,other,,1,model,aten.scalar_tensor.default,[],decode,True
55,model,,,where,"[[B, 1, 1, T+1], [], []]",,,"[[B, 1, 1, T+1]]","[53, 54]",,other,,1,model,aten.where.self,[],decode,True
56,model,rotary_emb,,unsqueeze,[[d_head/2]],,,"[[B, d_head/2]]",[],,other,,2,model.rotary_emb,aten.unsqueeze.default,[model.rotary_emb.inv_freq],decode,True
57,model,rotary_emb,,unsqueeze,"[[B, d_head/2]]",,,"[[B, d_head/2, 1]]",[56],,other,,2,model.rotary_emb,aten.unsqueeze.default,[],decode,True
58,model,rotary_emb,,expand,"[[B, d_head/2, 1]]",,,"[[B, d_head/2, 1]]",[57],,other,,2,model.rotary_emb,aten.expand.default,[],decode,True
59,model,rotary_emb,,unsqueeze,"[[B, 1]]",,,"[[B, 1, 1]]",[],,other,,2,model.rotary_emb,aten.unsqueeze.default,[],decode,True
60,model,rotary_emb,,_to_copy,"[[B, 1, 1]]",,,"[[B, 1, 1]]",[59],,other,,2,model.rotary_emb,aten._to_copy.default,[],decode,True
61,model,rotary_emb,,expand,"[[B, d_head/2, 1]]",,,"[[B, d_head/2, 1]]",[58],,other,,2,model.rotary_emb,aten.expand.default,[],decode,True
62,model,rotary_emb,,view,"[[B, d_head/2, 1]]",,,"[[B, d_head/2, 1]]",[61],,other,,2,model.rotary_emb,aten.view.default,[],decode,True
63,model,rotary_emb,,expand,"[[B, 1, 1]]",,,"[[B, 1, 1]]",[60],,other,,2,model.rotary_emb,aten.expand.default,[],decode,True
64,model,rotary_emb,,view,"[[B, 1, 1]]",,,"[[B, 1, 1]]",[63],,other,,2,model.rotary_emb,aten.view.default,[],decode,True
65,model,rotary_emb,,batched_matmul,"[[B, d_head/2, 1], [B, 1, 1]]",,,"[[B, d_head/2, 1]]","[62, 64]",,other,,2,model.rotary_emb,aten.bmm.default,[],decode,False
66,model,rotary_emb,,_unsafe_view,"[[B, d_head/2, 1]]",,,"[[B, d_head/2, 1]]",[65],,other,,2,model.rotary_emb,aten._unsafe_view.default,[],decode,True
67,model,rotary_emb,,transpose,"[[B, d_head/2, 1]]",,,"[[B, 1, d_head/2]]",[66],,other,,2,model.rotary_emb,aten.transpose.int,[],decode,True
68,model,rotary_emb,,ones_like,"[[B, 1, d_head/2]]",,,"[[B, 1, d_head/2]]",[67],,other,,2,model.rotary_emb,aten.ones_like.default,[],decode,True
69,model,rotary_emb,,polar,"[[B, 1, d_head/2], [B, 1, d_head/2]]",,,"[[B, 1, d_head/2]]","[67, 68]",,other,,2,model.rotary_emb,aten.polar.default,[],decode,True
70,model,rotary_emb,,elementwise_mul,"[[B, 1, d_head/2]]",,,"[[B, 1, d_head/2]]",[69],,other,,2,model.rotary_emb,aten.mul.Tensor,[],decode,False
71,input_layernorm,,,_to_copy,"[[B, 1, d_model]]",,,"[[B, 1, d_model]]",[0],0,input_layernorm,,1,model.layers.0.input_layernorm,aten._to_copy.default,[],decode,True
72,input_layernorm,,,pow,"[[B, 1, d_model]]",,,"[[B, 1, d_model]]",[71],0,input_layernorm,,1,model.layers.0.input_layernorm,aten.pow.Tensor_Scalar,[],decode,False
73,input_layernorm,,,mean,"[[B, 1, d_model]]",,,"[[B, 1, 1]]",[72],0,input_layernorm,,1,model.layers.0.input_layernorm,aten.mean.dim,[],decode,False
74,input_layernorm,,,elementwise_add,"[[B, 1, 1]]",,,"[[B, 1, 1]]",[73],0,input_layernorm,,1,model.layers.0.input_layernorm,aten.add.Tensor,[],decode,False
75,input_layernorm,,,rsqrt,"[[B, 1, 1]]",,,"[[B, 1, 1]]",[74],0,input_layernorm,,1,model.layers.0.input_layernorm,aten.rsqrt.default,[],decode,False
76,input_layernorm,,,elementwise_mul,"[[B, 1, d_model], [B, 1, 1]]",,,"[[B, 1, d_model]]","[71, 75]",0,input_layernorm,,1,model.layers.0.input_layernorm,aten.mul.Tensor,[],decode,False
77,input_layernorm,,,_to_copy,"[[B, 1, d_model]]",,,"[[B, 1, d_model]]",[76],0,input_layernorm,,1,model.layers.0.input_layernorm,aten._to_copy.default,[],decode,True
78,input_layernorm,,,elementwise_mul,"[[B, 1, d_model], [d_model]]",,,"[[B, 1, d_model]]",[77],0,input_layernorm,,1,model.layers.0.input_layernorm,aten.mul.Tensor,[model.layers.0.input_layernorm.weight],decode,False
79,self_attn,q_proj,,t,"[[n_h*d_head, d_model]]","[n_h*d_head, d_model]",0,"[[d_model, n_h*d_head]]",[],0,self_attn,q_proj,2,model.layers.0.self_attn.q_proj,aten.t.default,[model.layers.0.self_attn.q_proj.weight],decode,True
80,self_attn,q_proj,,view,"[[B, 1, d_model]]",,,"[[B, d_model]]",[78],0,self_attn,q_proj,2,model.layers.0.self_attn.q_proj,aten.view.default,[],decode,True
81,self_attn,q_proj,,matmul,"[[B, d_model], [d_model, n_h*d_head]]","[n_h*d_head, d_model]",1,"[[B, n_h*d_head]]","[79, 80]",0,self_attn,q_proj,2,model.layers.0.self_attn.q_proj,aten.mm.default,[model.layers.0.self_attn.q_proj.weight],decode,False
82,self_attn,q_proj,,_unsafe_view,"[[B, n_h*d_head]]",,,"[[B, 1, n_h*d_head]]",[81],0,self_attn,q_proj,2,model.layers.0.self_attn.q_proj,aten._unsafe_view.default,[],decode,True
83,self_attn,,,view,"[[B, 1, n_h*d_head]]",,,"[[B, 1, n_h, d_head]]",[82],0,self_attn,,1,model.layers.0.self_attn,aten.view.default,[],decode,True
84,self_attn,k_proj,,t,"[[n_kv*d_head, d_model]]","[n_kv*d_head, d_model]",0,"[[d_model, n_kv*d_head]]",[],0,self_attn,k_proj,2,model.layers.0.self_attn.k_proj,aten.t.default,[model.layers.0.self_attn.k_proj.weight],decode,True
85,self_attn,k_proj,,view,"[[B, 1, d_model]]",,,"[[B, d_model]]",[78],0,self_attn,k_proj,2,model.layers.0.self_attn.k_proj,aten.view.default,[],decode,True
86,self_attn,k_proj,,matmul,"[[B, d_model], [d_model, n_kv*d_head]]","[n_kv*d_head, d_model]",1,"[[B, n_kv*d_head]]","[84, 85]",0,self_attn,k_proj,2,model.layers.0.self_attn.k_proj,aten.mm.default,[model.layers.0.self_attn.k_proj.weight],decode,False
87,self_attn,k_proj,,_unsafe_view,"[[B, n_kv*d_head]]",,,"[[B, 1, n_kv*d_head]]",[86],0,self_attn,k_proj,2,model.layers.0.self_attn.k_proj,aten._unsafe_view.default,[],decode,True
88,self_attn,,,view,"[[B, 1, n_kv*d_head]]",,,"[[B, 1, n_kv, d_head]]",[87],0,self_attn,,1,model.layers.0.self_attn,aten.view.default,[],decode,True
89,self_attn,v_proj,,t,"[[n_kv*d_head, d_model]]","[n_kv*d_head, d_model]",0,"[[d_model, n_kv*d_head]]",[],0,self_attn,v_proj,2,model.layers.0.self_attn.v_proj,aten.t.default,[model.layers.0.self_attn.v_proj.weight],decode,True
90,self_attn,v_proj,,view,"[[B, 1, d_model]]",,,"[[B, d_model]]",[78],0,self_attn,v_proj,2,model.layers.0.self_attn.v_proj,aten.view.default,[],decode,True
91,self_attn,v_proj,,matmul,"[[B, d_model], [d_model, n_kv*d_head]]","[n_kv*d_head, d_model]",1,"[[B, n_kv*d_head]]","[89, 90]",0,self_attn,v_proj,2,model.layers.0.self_attn.v_proj,aten.mm.default,[model.layers.0.self_attn.v_proj.weight],decode,False
92,self_attn,v_proj,,_unsafe_view,"[[B, n_kv*d_head]]",,,"[[B, 1, n_kv*d_head]]",[91],0,self_attn,v_proj,2,model.layers.0.self_attn.v_proj,aten._unsafe_view.default,[],decode,True
93,self_attn,,,view,"[[B, 1, n_kv*d_head]]",,,"[[B, 1, n_kv, d_head]]",[92],0,self_attn,,1,model.layers.0.self_attn,aten.view.default,[],decode,True
94,self_attn,,,transpose,"[[B, 1, n_kv, d_head]]",,,"[[B, n_kv, 1, d_head]]",[93],0,self_attn,,1,model.layers.0.self_attn,aten.transpose.int,[],decode,True
95,self_attn,,,_to_copy,"[[B, 1, n_h, d_head]]",,,"[[B, 1, n_h, d_head]]",[83],0,self_attn,,1,model.layers.0.self_attn,aten._to_copy.default,[],decode,True
96,self_attn,,,view,"[[B, 1, n_h, d_head]]",,,"[[B, 1, n_h, d_head/2, 2]]",[95],0,self_attn,,1,model.layers.0.self_attn,aten.view.default,[],decode,True
97,self_attn,,,view_as_complex,"[[B, 1, n_h, d_head/2, 2]]",,,"[[B, 1, n_h, d_head/2]]",[96],0,self_attn,,1,model.layers.0.self_attn,aten.view_as_complex.default,[],decode,True
98,self_attn,,,_to_copy,"[[B, 1, n_kv, d_head]]",,,"[[B, 1, n_kv, d_head]]",[88],0,self_attn,,1,model.layers.0.self_attn,aten._to_copy.default,[],decode,True
99,self_attn,,,view,"[[B, 1, n_kv, d_head]]",,,"[[B, 1, n_kv, d_head/2, 2]]",[98],0,self_attn,,1,model.layers.0.self_attn,aten.view.default,[],decode,True
100,self_attn,,,view_as_complex,"[[B, 1, n_kv, d_head/2, 2]]",,,"[[B, 1, n_kv, d_head/2]]",[99],0,self_attn,,1,model.layers.0.self_attn,aten.view_as_complex.default,[],decode,True
101,self_attn,,,unsqueeze,"[[B, 1, d_head/2]]",,,"[[B, 1, 1, d_head/2]]",[70],0,self_attn,,1,model.layers.0.self_attn,aten.unsqueeze.default,[],decode,True
102,self_attn,,,elementwise_mul,"[[B, 1, n_h, d_head/2], [B, 1, 1, d_head/2]]",,,"[[B, 1, n_h, d_head/2]]","[97, 101]",0,self_attn,,1,model.layers.0.self_attn,aten.mul.Tensor,[],decode,False
103,self_attn,,,view_as_real,"[[B, 1, n_h, d_head/2]]",,,"[[B, 1, n_h, d_head/2, 2]]",[102],0,self_attn,,1,model.layers.0.self_attn,aten.view_as_real.default,[],decode,True
104,self_attn,,,view,"[[B, 1, n_h, d_head/2, 2]]",,,"[[B, 1, n_h, d_head]]",[103],0,self_attn,,1,model.layers.0.self_attn,aten.view.default,[],decode,True
105,self_attn,,,unsqueeze,"[[B, 1, d_head/2]]",,,"[[B, 1, 1, d_head/2]]",[70],0,self_attn,,1,model.layers.0.self_attn,aten.unsqueeze.default,[],decode,True
106,self_attn,,,elementwise_mul,"[[B, 1, n_kv, d_head/2], [B, 1, 1, d_head/2]]",,,"[[B, 1, n_kv, d_head/2]]","[100, 105]",0,self_attn,,1,model.layers.0.self_attn,aten.mul.Tensor,[],decode,False
107,self_attn,,,view_as_real,"[[B, 1, n_kv, d_head/2]]",,,"[[B, 1, n_kv, d_head/2, 2]]",[106],0,self_attn,,1,model.layers.0.self_attn,aten.view_as_real.default,[],decode,True
108,self_attn,,,view,"[[B, 1, n_kv, d_head/2, 2]]",,,"[[B, 1, n_kv, d_head]]",[107],0,self_attn,,1,model.layers.0.self_attn,aten.view.default,[],decode,True
109,self_attn,,,_to_copy,"[[B, 1, n_h, d_head]]",,,"[[B, 1, n_h, d_head]]",[104],0,self_attn,,1,model.layers.0.self_attn,aten._to_copy.default,[],decode,True
110,self_attn,,,_to_copy,"[[B, 1, n_kv, d_head]]",,,"[[B, 1, n_kv, d_head]]",[108],0,self_attn,,1,model.layers.0.self_attn,aten._to_copy.default,[],decode,True
111,self_attn,,,transpose,"[[B, 1, n_h, d_head]]",,,"[[B, n_h, 1, d_head]]",[109],0,self_attn,,1,model.layers.0.self_attn,aten.transpose.int,[],decode,True
112,self_attn,,,transpose,"[[B, 1, n_kv, d_head]]",,,"[[B, n_kv, 1, d_head]]",[110],0,self_attn,,1,model.layers.0.self_attn,aten.transpose.int,[],decode,True
113,self_attn,,,concat,"[[B, n_kv, T, d_head], [B, n_kv, 1, d_head]]",,,"[[B, n_kv, T+1, d_head]]",[112],0,self_attn,,1,model.layers.0.self_attn,aten.cat.default,[],decode,False
114,self_attn,,,concat,"[[B, n_kv, T, d_head], [B, n_kv, 1, d_head]]",,,"[[B, n_kv, T+1, d_head]]",[94],0,self_attn,,1,model.layers.0.self_attn,aten.cat.default,[],decode,False
115,self_attn,,,slice,"[[B, n_kv, T+1, d_head]]",,,"[[B, n_kv, T+1, d_head]]",[113],0,self_attn,,1,model.layers.0.self_attn,aten.slice.Tensor,[],decode,True
116,self_attn,,,slice,"[[B, n_kv, T+1, d_head]]",,,"[[B, n_kv, T+1, d_head]]",[114],0,self_attn,,1,model.layers.0.self_attn,aten.slice.Tensor,[],decode,True
117,self_attn,,,unsqueeze,"[[B, n_kv, T+1, d_head]]",,,"[[B, n_kv, 1, T+1, d_head]]",[113],0,self_attn,,1,model.layers.0.self_attn,aten.unsqueeze.default,[],decode,True
118,self_attn,,,expand,"[[B, n_kv, 1, T+1, d_head]]",,,"[[B, n_kv, n_h/n_kv, T+1, d_head]]",[117],0,self_attn,,1,model.layers.0.self_attn,aten.expand.default,[],decode,True
119,self_attn,,,clone,"[[B, n_kv, n_h/n_kv, T+1, d_head]]",,,"[[B, n_kv, n_h/n_kv, T+1, d_head]]",[118],0,self_attn,,1,model.layers.0.self_attn,aten.clone.default,[],decode,True
120,self_attn,,,_unsafe_view,"[[B, n_kv, n_h/n_kv, T+1, d_head]]",,,"[[B, n_h, T+1, d_head]]",[119],0,self_attn,,1,model.layers.0.self_attn,aten._unsafe_view.default,[],decode,True
121,self_attn,,,unsqueeze,"[[B, n_kv, T+1, d_head]]",,,"[[B, n_kv, 1, T+1, d_head]]",[114],0,self_attn,,1,model.layers.0.self_attn,aten.unsqueeze.default,[],decode,True
122,self_attn,,,expand,"[[B, n_kv, 1, T+1, d_head]]",,,"[[B, n_kv, n_h/n_kv, T+1, d_head]]",[121],0,self_attn,,1,model.layers.0.self_attn,aten.expand.default,[],decode,True
123,self_attn,,,clone,"[[B, n_kv, n_h/n_kv, T+1, d_head]]",,,"[[B, n_kv, n_h/n_kv, T+1, d_head]]",[122],0,self_attn,,1,model.layers.0.self_attn,aten.clone.default,[],decode,True
124,self_attn,,,_unsafe_view,"[[B, n_kv, n_h/n_kv, T+1, d_head]]",,,"[[B, n_h, T+1, d_head]]",[123],0,self_attn,,1,model.layers.0.self_attn,aten._unsafe_view.default,[],decode,True
125,self_attn,,,transpose,"[[B, n_h, T+1, d_head]]",,,"[[B, n_h, d_head, T+1]]",[120],0,self_attn,,1,model.layers.0.self_attn,aten.transpose.int,[],decode,True
126,self_attn,,,expand,"[[B, n_h, 1, d_head]]",,,"[[B, n_h, 1, d_head]]",[111],0,self_attn,,1,model.layers.0.self_attn,aten.expand.default,[],decode,True
127,self_attn,,,view,"[[B, n_h, 1, d_head]]",,,"[[n_h, 1, d_head]]",[126],0,self_attn,,1,model.layers.0.self_attn,aten.view.default,[],decode,True
128,self_attn,,,expand,"[[B, n_h, d_head, T+1]]",,,"[[B, n_h, d_head, T+1]]",[125],0,self_attn,,1,model.layers.0.self_attn,aten.expand.default,[],decode,True
129,self_attn,,,view,"[[B, n_h, d_head, T+1]]",,,"[[n_h, d_head, T+1]]",[128],0,self_attn,,1,model.layers.0.self_attn,aten.view.default,[],decode,True
130,self_attn,,,batched_matmul,"[[n_h, 1, d_head], [n_h, d_head, T+1]]",,,"[[n_h, 1, T+1]]","[127, 129]",0,self_attn,,1,model.layers.0.self_attn,aten.bmm.default,[],decode,False
131,self_attn,,,_unsafe_view,"[[n_h, 1, T+1]]",,,"[[B, n_h, 1, T+1]]",[130],0,self_attn,,1,model.layers.0.self_attn,aten._unsafe_view.default,[],decode,True
132,self_attn,,,elementwise_mul,"[[B, n_h, 1, T+1]]",,,"[[B, n_h, 1, T+1]]",[131],0,self_attn,,1,model.layers.0.self_attn,aten.mul.Tensor,[],decode,False
133,self_attn,,,elementwise_add,"[[B, n_h, 1, T+1], [B, 1, 1, T+1]]",,,"[[B, n_h, 1, T+1]]","[55, 132]",0,self_attn,,1,model.layers.0.self_attn,aten.add.Tensor,[],decode,False
134,self_attn,,,softmax,"[[B, n_h, 1, T+1]]",,,"[[B, n_h, 1, T+1]]",[133],0,self_attn,,1,model.layers.0.self_attn,aten._softmax.default,[],decode,False
135,self_attn,,,expand,"[[B, n_h, 1, T+1]]",,,"[[B, n_h, 1, T+1]]",[134],0,self_attn,,1,model.layers.0.self_attn,aten.expand.default,[],decode,True
136,self_attn,,,view,"[[B, n_h, 1, T+1]]",,,"[[n_h, 1, T+1]]",[135],0,self_attn,,1,model.layers.0.self_attn,aten.view.default,[],decode,True
137,self_attn,,,expand,"[[B, n_h, T+1, d_head]]",,,"[[B, n_h, T+1, d_head]]",[124],0,self_attn,,1,model.layers.0.self_attn,aten.expand.default,[],decode,True
138,self_attn,,,view,"[[B, n_h, T+1, d_head]]",,,"[[n_h, T+1, d_head]]",[137],0,self_attn,,1,model.layers.0.self_attn,aten.view.default,[],decode,True
139,self_attn,,,batched_matmul,"[[n_h, 1, T+1], [n_h, T+1, d_head]]",,,"[[n_h, 1, d_head]]","[136, 138]",0,self_attn,,1,model.layers.0.self_attn,aten.bmm.default,[],decode,False
140,self_attn,,,_unsafe_view,"[[n_h, 1, d_head]]",,,"[[B, n_h, 1, d_head]]",[139],0,self_attn,,1,model.layers.0.self_attn,aten._unsafe_view.default,[],decode,True
141,self_attn,,,transpose,"[[B, n_h, 1, d_head]]",,,"[[B, 1, n_h, d_head]]",[140],0,self_attn,,1,model.layers.0.self_attn,aten.transpose.int,[],decode,True
142,self_attn,,,view,"[[B, 1, n_h, d_head]]",,,"[[B, 1, n_h*d_head]]",[141],0,self_attn,,1,model.layers.0.self_attn,aten.view.default,[],decode,True
143,self_attn,o_proj,,t,"[[d_model, n_h*d_head]]","[d_model, n_h*d_head]",0,"[[n_h*d_head, d_model]]",[],0,self_attn,o_proj,2,model.layers.0.self_attn.o_proj,aten.t.default,[model.layers.0.self_attn.o_proj.weight],decode,True
144,self_attn,o_proj,,view,"[[B, 1, n_h*d_head]]",,,"[[B, n_h*d_head]]",[142],0,self_attn,o_proj,2,model.layers.0.self_attn.o_proj,aten.view.default,[],decode,True
145,self_attn,o_proj,,matmul,"[[B, n_h*d_head], [n_h*d_head, d_model]]","[d_model, n_h*d_head]",1,"[[B, d_model]]","[143, 144]",0,self_attn,o_proj,2,model.layers.0.self_attn.o_proj,aten.mm.default,[model.layers.0.self_attn.o_proj.weight],decode,False
146,self_attn,o_proj,,_unsafe_view,"[[B, d_model]]",,,"[[B, 1, d_model]]",[145],0,self_attn,o_proj,2,model.layers.0.self_attn.o_proj,aten._unsafe_view.default,[],decode,True
147,,,,elementwise_add,"[[B, 1, d_model], [B, 1, d_model]]",,,"[[B, 1, d_model]]","[0, 146]",0,,,0,model.layers.0,aten.add.Tensor,[],decode,False
148,post_attention_layernorm,,,_to_copy,"[[B, 1, d_model]]",,,"[[B, 1, d_model]]",[147],0,post_attention_layernorm,,1,model.layers.0.post_attention_layernorm,aten._to_copy.default,[],decode,True
149,post_attention_layernorm,,,pow,"[[B, 1, d_model]]",,,"[[B, 1, d_model]]",[148],0,post_attention_layernorm,,1,model.layers.0.post_attention_layernorm,aten.pow.Tensor_Scalar,[],decode,False
150,post_attention_layernorm,,,mean,"[[B, 1, d_model]]",,,"[[B, 1, 1]]",[149],0,post_attention_layernorm,,1,model.layers.0.post_attention_layernorm,aten.mean.dim,[],decode,False
151,post_attention_layernorm,,,elementwise_add,"[[B, 1, 1]]",,,"[[B, 1, 1]]",[150],0,post_attention_layernorm,,1,model.layers.0.post_attention_layernorm,aten.add.Tensor,[],decode,False
152,post_attention_layernorm,,,rsqrt,"[[B, 1, 1]]",,,"[[B, 1, 1]]",[151],0,post_attention_layernorm,,1,model.layers.0.post_attention_layernorm,aten.rsqrt.default,[],decode,False
153,post_attention_layernorm,,,elementwise_mul,"[[B, 1, d_model], [B, 1, 1]]",,,"[[B, 1, d_model]]","[148, 152]",0,post_attention_layernorm,,1,model.layers.0.post_attention_layernorm,aten.mul.Tensor,[],decode,False
154,post_attention_layernorm,,,_to_copy,"[[B, 1, d_model]]",,,"[[B, 1, d_model]]",[153],0,post_attention_layernorm,,1,model.layers.0.post_attention_layernorm,aten._to_copy.default,[],decode,True
155,post_attention_layernorm,,,elementwise_mul,"[[B, 1, d_model], [d_model]]",,,"[[B, 1, d_model]]",[154],0,post_attention_layernorm,,1,model.layers.0.post_attention_layernorm,aten.mul.Tensor,[model.layers.0.post_attention_layernorm.weight],decode,False
