op_id,h1,h2,h3,op_type,input_shape,weight_shape,weight_pos,output_shape,depends_on,layer_idx,block,sub_block,depth,module_path,raw_op,params,phase,unmapped
112,input_layernorm,,,elementwise_mul,"[[B, T, d_model], [B, T, 1]]",,,"[[B, T, d_model]]","[107, 111]",0,input_layernorm,,1,model.layers.0.input_layernorm,aten.mul.Tensor,[],prefill,False
113,input_layernorm,,,_to_copy,"[[B, T, d_model]]",,,"[[B, T, d_model]]",[112],0,input_layernorm,,1,model.layers.0.input_layernorm,aten._to_copy.default,[],prefill,True
114,input_layernorm,,,elementwise_mul,"[[B, T, d_model], [d_model]]",,,"[[B, T, d_model]]",[113],0,input_layernorm,,1,model.layers.0.input_layernorm,aten.mul.Tensor,[model.layers.0.input_layernorm.weight],prefill,False
115,self_attn,q_proj,,t,"[[n_h*d_head, d_model]]","[n_h*d_head, d_model]",0,"[[d_model, n_h*d_head]]",[],0,self_attn,q_proj,2,model.layers.0.self_attn.q_proj,aten.t.default,[model.layers.0.self_attn.q_proj.weight],prefill,True
116,self_attn,q_proj,,view,"[[B, T, d_model]]",,,"[[T, d_model]]",[114],0,self_attn,q_proj,2,model.layers.0.self_attn.q_proj,aten.view.default,[],prefill,True
117,self_attn,q_proj,,matmul,"[[T, d_model], [d_model, n_h*d_head]]","[n_h*d_head, d_model]",1,"[[T, n_h*d_head]]","[115, 116]",0,self_attn,q_proj,2,model.layers.0.self_attn.q_proj,aten.mm.default,[model.layers.0.self_attn.q_proj.weight],prefill,False
118,self_attn,q_proj,,_unsafe_view,"[[T, n_h*d_head]]",,,"[[B, T, n_h*d_head]]",[117],0,self_attn,q_proj,2,model.layers.0.self_attn.q_proj,aten._unsafe_view.default,[],prefill,True
119,self_attn,,,view,"[[B, T, n_h*d_head]]",,,"[[B, T, n_h, d_head]]",[118],0,self_attn,,1,model.layers.0.self_attn,aten.view.default,[],prefill,True
120,self_attn,k_proj,,t,"[[n_kv*d_head, d_model]]","[n_kv*d_head, d_model]",0,"[[d_model, n_kv*d_head]]",[],0,self_attn,k_proj,2,model.layers.0.self_attn.k_proj,aten.t.default,[model.layers.0.self_attn.k_proj.weight],prefill,True
121,self_attn,k_proj,,view,"[[B, T, d_model]]",,,"[[T, d_model]]",[114],0,self_attn,k_proj,2,model.layers.0.self_attn.k_proj,aten.view.default,[],prefill,True
122,self_attn,k_proj,,matmul,"[[T, d_model], [d_model, n_kv*d_head]]","[n_kv*d_head, d_model]",1,"[[T, n_kv*d_head]]","[120, 121]",0,self_attn,k_proj,2,model.layers.0.self_attn.k_proj,aten.mm.default,[model.layers.0.self_attn.k_proj.weight],prefill,False
123,self_attn,k_proj,,_unsafe_view,"[[T, n_kv*d_head]]",,,"[[B, T, n_kv*d_head]]",[122],0,self_attn,k_proj,2,model.layers.0.self_attn.k_proj,aten._unsafe_view.default,[],prefill,True
124,self_attn,,,view,"[[B, T, n_kv*d_head]]",,,"[[B, T, n_kv, d_head]]",[123],0,self_attn,,1,model.layers.0.self_attn,aten.view.default,[],prefill,True
125,self_attn,v_proj,,t,"[[n_kv*d_head, d_model]]","[n_kv*d_head, d_model]",0,"[[d_model, n_kv*d_head]]",[],0,self_attn,v_proj,2,model.layers.0.self_attn.v_proj,aten.t.default,[model.layers.0.self_attn.v_proj.weight],prefill,True
126,self_attn,v_proj,,view,"[[B, T, d_model]]",,,"[[T, d_model]]",[114],0,self_attn,v_proj,2,model.layers.0.self_attn.v_proj,aten.view.default,[],prefill,True
127,self_attn,v_proj,,matmul,"[[T, d_model], [d_model, n_kv*d_head]]","[n_kv*d_head, d_model]",1,"[[T, n_kv*d_head]]","[125, 126]",0,self_attn,v_proj,2,model.layers.0.self_attn.v_proj,aten.mm.default,[model.layers.0.self_attn.v_proj.weight],prefill,False
128,self_attn,v_proj,,_unsafe_view,"[[T, n_kv*d_head]]",,,"[[B, T, n_kv*d_head]]",[127],0,self_attn,v_proj,2,model.layers.0.self_attn.v_proj,aten._unsafe_view.default,[],prefill,True
129,self_attn,,,view,"[[B, T, n_kv*d_head]]",,,"[[B, T, n_kv, d_head]]",[128],0,self_attn,,1,model.layers.0.self_attn,aten.view.default,[],prefill,True
130,self_attn,,,transpose,"[[B, T, n_kv, d_head]]",,,"[[B, n_kv, T, d_head]]",[129],0,self_attn,,1,model.layers.0.self_attn,aten.transpose.int,[],prefill,True
131,self_attn,,,_to_copy,"[[B, T, n_h, d_head]]",,,"[[B, T, n_h, d_head]]",[119],0,self_attn,,1,model.layers.0.self_attn,aten._to_copy.default,[],prefill,True
132,self_attn,,,view,"[[B, T, n_h, d_head]]",,,"[[B, T, n_h, d_head/2, 2]]",[131],0,self_attn,,1,model.layers.0.self_attn,aten.view.default,[],prefill,True
133,self_attn,,,view_as_complex,"[[B, T, n_h, d_head/2, 2]]",,,"[[B, T, n_h, d_head/2]]",[132],0,self_attn,,1,model.layers.0.self_attn,aten.view_as_complex.default,[],prefill,True
134,self_attn,,,_to_copy,"[[B, T, n_kv, d_head]]",,,"[[B, T, n_kv, d_head]]",[124],0,self_attn,,1,model.layers.0.self_attn,aten._to_copy.default,[],prefill,True
135,self_attn,,,view,"[[B, T, n_kv, d_head]]",,,"[[B, T, n_kv, d_head/2, 2]]",[134],0,self_attn,,1,model.layers.0.self_attn,aten.view.default,[],prefill,True
136,self_attn,,,view_as_complex,"[[B, T, n_kv, d_head/2, 2]]",,,"[[B, T, n_kv, d_head/2]]",[135],0,self_attn,,1,model.layers.0.self_attn,aten.view_as_complex.default,[],prefill,True
137,self_attn,,,unsqueeze,"[[B, T, d_head/2]]",,,"[[B, T, 1, d_head/2]]",[106],0,self_attn,,1,model.layers.0.self_attn,aten.unsqueeze.default,[],prefill,True
138,self_attn,,,elementwise_mul,"[[B, T, n_h, d_head/2], [B, T, 1, d_head/2]]",,,"[[B, T, n_h, d_head/2]]","[133, 137]",0,self_attn,,1,model.layers.0.self_attn,aten.mul.Tensor,[],prefill,False
139,self_attn,,,view_as_real,"[[B, T, n_h, d_head/2]]",,,"[[B, T, n_h, d_head/2, 2]]",[138],0,self_attn,,1,model.layers.0.self_attn,aten.view_as_real.default,[],prefill,True
140,self_attn,,,view,"[[B, T, n_h, d_head/2, 2]]",,,"[[B, T, n_h, d_head]]",[139],0,self_attn,,1,model.layers.0.self_attn,aten.view.default,[],prefill,True
141,self_attn,,,unsqueeze,"[[B, T, d_head/2]]",,,"[[B, T, 1, d_head/2]]",[106],0,self_attn,,1,model.layers.0.self_attn,aten.unsqueeze.default,[],prefill,True
142,self_attn,,,elementwise_mul,"[[B, T, n_kv, d_head/2], [B, T, 1, d_head/2]]",,,"[[B, T, n_kv, d_head/2]]","[136, 141]",0,self_attn,,1,model.layers.0.self_attn,aten.mul.Tensor,[],prefill,False
143,self_attn,,,view_as_real,"[[B, T, n_kv, d_head/2]]",,,"[[B, T, n_kv, d_head/2, 2]]",[142],0,self_attn,,1,model.layers.0.self_attn,aten.view_as_real.default,[],prefill,True
144,self_attn,,,view,"[[B, T, n_kv, d_head/2, 2]]",,,"[[B, T, n_kv, d_head]]",[143],0,self_attn,,1,model.layers.0.self_attn,aten.view.default,[],prefill,True
145,self_attn,,,_to_copy,"[[B, T, n_h, d_head]]",,,"[[B, T, n_h, d_head]]",[140],0,self_attn,,1,model.layers.0.self_attn,aten._to_copy.default,[],prefill,True
146,self_attn,,,_to_copy,"[[B, T, n_kv, d_head]]",,,"[[B, T, n_kv, d_head]]",[144],0,self_attn,,1,model.layers.0.self_attn,aten._to_copy.default,[],prefill,True
147,self_attn,,,transpose,"[[B, T, n_h, d_head]]",,,"[[B, n_h, T, d_head]]",[145],0,self_attn,,1,model.layers.0.self_attn,aten.transpose.int,[],prefill,True
148,self_attn,,,transpose,"[[B, T, n_kv, d_head]]",,,"[[B, n_kv, T, d_head]]",[146],0,self_attn,,1,model.layers.0.self_attn,aten.transpose.int,[],prefill,True
149,self_attn,,,_to_copy,[[]],,,[[]],[1],0,self_attn,,1,model.layers.0.self_attn,aten._to_copy.default,[],prefill,True
150,self_attn,,,concat,"[[0], [B, n_kv, T, d_head]]",,,"[[B, n_kv, T, d_head]]",[148],0,self_attn,,1,model.layers.0.self_attn,aten.cat.default,[],prefill,False
151,self_attn,,,concat,"[[0], [B, n_kv, T, d_head]]",,,"[[B, n_kv, T, d_head]]",[130],0,self_attn,,1,model.layers.0.self_attn,aten.cat.default,[],prefill,False
152,self_attn,,,slice,"[[B, n_kv, T, d_head]]",,,"[[B, n_kv, T, d_head]]",[150],0,self_attn,,1,model.layers.0.self_attn,aten.slice.Tensor,[],prefill,True
153,self_attn,,,slice,"[[B, n_kv, T, d_head]]",,,"[[B, n_kv, T, d_head]]",[151],0,self_attn,,1,model.layers.0.self_attn,aten.slice.Tensor,[],prefill,True
154,self_attn,,,unsqueeze,"[[B, n_kv, T, d_head]]",,,"[[B, n_kv, 1, T, d_head]]",[150],0,self_attn,,1,model.layers.0.self_attn,aten.unsqueeze.default,[],prefill,True
155,self_attn,,,expand,"[[B, n_kv, 1, T, d_head]]",,,"[[B, n_kv, n_h/n_kv, T, d_head]]",[154],0,self_attn,,1,model.layers.0.self_attn,aten.expand.default,[],prefill,True
156,self_attn,,,clone,"[[B, n_kv, n_h/n_kv, T, d_head]]",,,"[[B, n_kv, n_h/n_kv, T, d_head]]",[155],0,self_attn,,1,model.layers.0.self_attn,aten.clone.default,[],prefill,True
157,self_attn,,,_unsafe_view,"[[B, n_kv, n_h/n_kv, T, d_head]]",,,"[[B, n_h, T, d_head]]",[156],0,self_attn,,1,model.layers.0.self_attn,aten._unsafe_view.default,[],prefill,True
158,self_attn,,,unsqueeze,"[[B, n_kv, T, d_head]]",,,"[[B, n_kv, 1, T, d_head]]",[151],0,self_attn,,1,model.layers.0.self_attn,aten.unsqueeze.default,[],prefill,True
159,self_attn,,,expand,"[[B, n_kv, 1, T, d_head]]",,,"[[B, n_kv, n_h/n_kv, T, d_head]]",[158],0,self_attn,,1,model.layers.0.self_attn,aten.expand.default,[],prefill,True
160,self_attn,,,clone,"[[B, n_kv, n_h/n_kv, T, d_head]]",,,"[[B, n_kv, n_h/n_kv, T, d_head]]",[159],0,self_attn,,1,model.layers.0.self_attn,aten.clone.default,[],prefill,True
161,self_attn,,,_unsafe_view,"[[B, n_kv, n_h/n_kv, T, d_head]]",,,"[[B, n_h, T, d_head]]",[160],0,self_attn,,1,model.layers.0.self_attn,aten._unsafe_view.default,[],prefill,True
162,self_attn,,,transpose,"[[B, n_h, T, d_head]]",,,"[[B, n_h, d_head, T]]",[157],0,self_attn,,1,model.layers.0.self_attn,aten.transpose.int,[],prefill,True
163,self_attn,,,expand,"[[B, n_h, T, d_head]]",,,"[[B, n_h, T, d_head]]",[147],0,self_attn,,1,model.layers.0.self_attn,aten.expand.default,[],prefill,True
164,self_attn,,,view,"[[B, n_h, T, d_head]]",,,"[[n_h, T, d_head]]",[163],0,self_attn,,1,model.layers.0.self_attn,aten.view.default,[],prefill,True
165,self_attn,,,expand,"[[B, n_h, d_head, T]]",,,"[[B, n_h, d_head, T]]",[162],0,self_attn,,1,model.layers.0.self_attn,aten.expand.default,[],prefill,True
166,self_attn,,,view,"[[B, n_h, d_head, T]]",,,"[[n_h, d_head, T]]",[165],0,self_attn,,1,model.layers.0.self_attn,aten.view.default,[],prefill,True
167,self_attn,,,batched_matmul,"[[n_h, T, d_head], [n_h, d_head, T]]",,,"[[n_h, T, T]]","[164, 166]",0,self_attn,,1,model.layers.0.self_attn,aten.bmm.default,[],prefill,False
168,self_attn,,,_unsafe_view,"[[n_h, T, T]]",,,"[[B, n_h, T, T]]",[167],0,self_attn,,1,model.layers.0.self_attn,aten._unsafe_view.default,[],prefill,True
169,self_attn,,,elementwise_mul,"[[B, n_h, T, T]]",,,"[[B, n_h, T, T]]",[168],0,self_attn,,1,model.layers.0.self_attn,aten.mul.Tensor,[],prefill,False
170,self_attn,,,elementwise_add,"[[B, n_h, T, T], [B, 1, T, T]]",,,"[[B, n_h, T, T]]","[91, 169]",0,self_attn,,1,model.layers.0.self_attn,aten.add.Tensor,[],prefill,False
171,self_attn,,,softmax,"[[B, n_h, T, T]]",,,"[[B, n_h, T, T]]",[170],0,self_attn,,1,model.layers.0.self_attn,aten._softmax.default,[],prefill,False
172,self_attn,,,expand,"[[B, n_h, T, T]]",,,"[[B, n_h, T, T]]",[171],0,self_attn,,1,model.layers.0.self_attn,aten.expand.default,[],prefill,True
173,self_attn,,,view,"[[B, n_h, T, T]]",,,"[[n_h, T, T]]",[172],0,self_attn,,1,model.layers.0.self_attn,aten.view.default,[],prefill,True
174,self_attn,,,expand,"[[B, n_h, T, d_head]]",,,"[[B, n_h, T, d_head]]",[161],0,self_attn,,1,model.layers.0.self_attn,aten.expand.default,[],prefill,True
175,self_attn,,,view,"[[B, n_h, T, d_head]]",,,"[[n_h, T, d_head]]",[174],0,self_attn,,1,model.layers.0.self_attn,aten.view.default,[],prefill,True
